client_id,client_type,gender,country,region,acquisition_purpose,satisfaction_score,loan_applied,referral_channel,age,total_properties,total_spend,average_property_price,maximum_property_price,total_area_sqft,average_area_sqft,is_investor,loan_flag,company_flag,avg_spend_per_property,cluster,segment
C0001,Individual,F,USA,California,Home,4,Yes,Website,55.6,4,1246764.72,311691.18,496266.41,3935.54,983.885,False,True,False,311691.18,1,Mainstream Lower-Value Buyers
C0002,Individual,M,USA,California,Home,1,No,Website,53.5,5,1841095.93,368219.1860000001,505127.63,5939.71,1187.942,False,False,False,368219.1860000001,2,Higher-Value Property Buyers
C0003,Individual,M,USA,California,Home,4,Yes,Agency,64.7,5,1661457.59,332291.518,584611.99,5290.55,1058.11,False,True,False,332291.518,2,Higher-Value Property Buyers
C0004,Individual,M,USA,California,Home,5,No,Website,53.5,6,1608263.51,268043.91833333333,606634.75,5622.62,937.1033333333334,False,False,False,268043.91833333333,0,High-Activity Investment-Oriented Buyers
C0005,Company,M,USA,California,Investment,5,No,Website,53.5,13,3653385.38,281029.64461538463,628812.33,12054.85,927.296153846154,True,False,True,281029.64461538463,0,High-Activity Investment-Oriented Buyers
C0006,Individual,M,USA,California,Home,3,Yes,Website,66.8,5,1514131.06,302826.212,435031.4,4947.95,989.59,False,True,False,302826.212,1,Mainstream Lower-Value Buyers
C0007,Individual,M,Canada,Quebec,Investment,5,No,Website,53.5,11,3251147.83,295558.8936363636,484458.03,10952.63,995.6936363636364,True,False,False,295558.8936363636,0,High-Activity Investment-Oriented Buyers
C0008,Individual,F,USA,California,Home,5,No,Website,53.5,5,1476730.41,295346.08200000005,537291.01,5155.53,1031.106,False,False,False,295346.08200000005,1,Mainstream Lower-Value Buyers
C0009,Individual,M,USA,California,Investment,5,No,Agency,48.2,5,1820832.35,364166.47,580903.05,6528.22,1305.644,True,False,False,364166.47,2,Higher-Value Property Buyers
C0010,Individual,M,USA,Oregon,Investment,3,No,Agency,53.5,5,1732434.0,346486.8,480540.62,5701.03,1140.206,True,False,False,346486.8,2,Higher-Value Property Buyers
C0011,Individual,F,USA,California,Home,2,Yes,Website,53.5,5,1325211.52,265042.304,473195.39,4679.57,935.914,False,True,False,265042.304,1,Mainstream Lower-Value Buyers
C0012,Company,M,USA,California,Investment,5,No,Website,53.5,4,1599526.4,399881.6,529317.28,5269.78,1317.445,True,False,True,399881.6,2,Higher-Value Property Buyers
